4.5, 2.5, -33.5, 1
3.5, 1, -24.5, 2
4, 1, -24.5, 3
3.5, 1, -24, 2
3.5, 1, -25, 1
3, 0, -23, 1
4, 1, -24, 2
4, 0.5, -25, 1
4.5, 0, -24.5, 1
4.5, 2.5, -27.5, 1
4.5, 0, -25, 1
4, 0, -25.5, 1
5, 1, -27.5, 4
5, 0, -30, 2
5, 2.5, -27.5, 5
5, 2, -27.5, 3
1, 0, -26, 1
4, 0.5, -24.5, 1
4.5, 1, -27.5, 4
-0.5, 0, -26.5, 1
4.5, 2, -27.5, 1
9.5, 0, -25.5, 1
6, 0, -26.5, 1
4, 0, -26, 1
5, 0.5, -27.5, 2
9, 0, -25.5, 1
6.5, 0, -26.5, 1
16, 1, -25, 1
6, 0, -27, 1
7, 0, -27.5, 4
7, 0, -27, 1
4.5, 1, -21.5, 2
6.5, 1, -25, 7
6.5, 0.5, -25, 2
6.5, 1.5, -25, 5
4, 1.5, -22, 1
6.5, 1, -24.5, 5
6, 1, -25, 2
5, 2, -21.5, 1
7, 0, -25.5, 1
5.5, 1, -24.5, 1
5.5, 0, -21.5, 1
5.5, 0, -21, 1
6, 0, -22.5, 2
6, 0, -23.5, 1
5.5, 0, -28, 1
5, 0.5, -21.5, 1
5, 1.5, -21.5, 1
7.5, 1, -22, 1
5.5, 0, -22, 1
6.5, 0, -23.5, 1
5, 0, -23, 1
5.5, 5, -31.5, 1
6.5, 0, -24.5, 1
