GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.500,2.500,-33.500,9.577
4.000,1.400,-24.125,4.500,2.500,-33.500,9.453
4.000,1.400,-24.250,4.500,2.500,-33.500,9.329
4.000,1.400,-24.375,3.714,1.071,-25.500,1.206
4.000,1.400,-24.500,3.833,0.889,-25.333,0.992
4.000,1.400,-24.625,3.833,0.889,-25.333,0.889
4.000,1.400,-24.750,3.833,0.889,-25.333,0.793
4.000,1.400,-24.875,3.833,0.889,-25.333,0.706
4.000,1.400,-25.000,3.833,0.889,-25.333,0.633
4.000,1.400,-25.125,3.833,0.889,-25.333,0.577
4.000,1.400,-25.250,3.900,1.050,-25.550,0.472
4.000,1.400,-25.375,3.900,1.050,-25.550,0.404
4.000,1.400,-25.500,3.958,0.875,-25.500,0.527
4.000,1.400,-25.625,3.958,0.875,-25.500,0.541
4.000,1.400,-25.750,3.958,0.875,-25.500,0.583
4.000,1.400,-25.875,3.958,0.875,-25.500,0.647
4.000,1.400,-26.000,3.958,0.875,-25.500,0.726
4.000,1.400,-26.125,3.958,0.875,-25.500,0.817
4.000,1.400,-26.250,3.958,0.875,-25.500,0.916
4.000,1.400,-26.375,4.038,0.885,-25.654,0.887
4.000,1.400,-26.500,4.038,0.885,-25.654,0.992
4.000,1.400,-26.625,4.038,0.885,-25.654,1.100
4.000,1.400,-26.750,4.038,0.885,-25.654,1.212
4.000,1.400,-26.875,4.038,0.885,-25.654,1.326
4.000,1.400,-27.000,4.038,0.885,-25.654,1.442
4.000,1.400,-27.000,4.167,0.933,-26.067,1.057
4.113,1.400,-27.000,4.028,0.917,-26.056,1.064
4.225,1.400,-27.000,4.028,0.917,-26.056,1.079
4.338,1.400,-27.000,4.053,0.921,-26.132,1.032
4.450,1.400,-27.000,3.825,0.875,-26.150,1.178
4.563,1.400,-27.000,3.857,0.929,-26.214,1.156
4.675,1.400,-27.000,4.114,0.886,-26.182,1.117
4.788,1.400,-27.000,4.404,0.769,-26.212,1.080
4.900,1.400,-27.000,4.481,0.741,-26.222,1.102
5.013,1.400,-27.000,4.481,0.741,-26.222,1.150
5.125,1.400,-27.000,4.893,0.750,-26.179,1.073
5.238,1.400,-27.000,4.931,0.724,-26.207,1.086
5.350,1.400,-27.000,4.931,0.724,-26.207,1.123
5.463,1.400,-27.000,4.931,0.724,-26.207,1.170
5.575,1.400,-27.000,4.931,0.724,-26.207,1.225
5.688,1.400,-27.000,4.931,0.724,-26.207,1.288
5.800,1.400,-27.000,4.931,0.724,-26.207,1.357
5.913,1.400,-27.000,4.931,0.724,-26.207,1.431
6.025,1.400,-27.000,4.931,0.724,-26.207,1.511
6.138,1.400,-27.000,4.931,0.724,-26.207,1.594
6.250,1.400,-27.000,5.000,0.700,-26.250,1.617
6.363,1.400,-27.000,5.065,0.677,-26.274,1.653
6.475,1.400,-27.000,5.065,0.677,-26.274,1.743
6.588,1.400,-27.000,5.065,0.677,-26.274,1.835
6.700,1.400,-27.000,5.065,0.677,-26.274,1.930
6.700,1.400,-27.000,5.065,0.677,-26.274,1.930
6.700,1.400,-26.824,5.065,0.677,-26.274,1.870
6.700,1.400,-26.647,5.047,0.688,-26.125,1.874
6.700,1.400,-26.471,5.171,0.714,-26.029,1.733
6.700,1.400,-26.294,5.171,0.714,-26.029,1.696
6.700,1.400,-26.118,5.171,0.714,-26.029,1.678
6.700,1.400,-25.941,5.171,0.714,-26.029,1.678
6.700,1.400,-25.765,5.171,0.714,-26.029,1.696
6.700,1.400,-25.588,5.139,0.736,-25.917,1.728
6.700,1.400,-25.412,5.197,0.750,-25.855,1.696
6.700,1.400,-25.235,5.197,0.750,-25.855,1.751
6.700,1.400,-25.059,5.192,0.782,-25.744,1.767
6.700,1.400,-24.882,5.238,0.763,-25.738,1.810
6.700,1.400,-24.706,5.238,0.763,-25.738,1.900
6.700,1.400,-24.529,5.244,0.768,-25.707,1.977
6.700,1.400,-24.353,5.244,0.768,-25.707,2.087
6.700,1.400,-24.176,5.273,0.716,-25.432,2.020
6.700,1.400,-24.000,5.273,0.716,-25.432,2.134
6.700,1.400,-23.824,5.273,0.716,-25.432,2.256
6.700,1.400,-23.647,5.273,0.716,-25.432,2.385
6.700,1.400,-23.471,5.273,0.716,-25.432,2.520
6.700,1.400,-23.294,5.273,0.716,-25.432,2.660
6.700,1.400,-23.118,5.293,0.685,-25.446,2.812
6.700,1.400,-22.941,5.293,0.685,-25.446,2.960
6.700,1.400,-22.765,5.293,0.685,-25.446,3.111
6.700,1.400,-22.588,5.293,0.685,-25.446,3.264
6.700,1.400,-22.412,5.293,0.685,-25.446,3.420
6.700,1.400,-22.235,5.287,0.681,-25.362,3.505
6.700,1.400,-22.059,5.287,0.681,-25.362,3.664
6.700,1.400,-21.882,5.287,0.681,-25.362,3.823
6.700,1.400,-21.706,5.330,0.690,-25.150,3.774
6.700,1.400,-21.529,5.353,0.676,-25.118,3.900
6.700,1.400,-21.353,5.353,0.676,-25.118,4.063
6.700,1.400,-21.176,5.346,0.663,-25.077,4.194
6.700,1.400,-21.000,5.370,0.731,-25.185,4.442
