GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.371,2.022,-25.439,1.610
4.000,1.400,-24.125,3.212,2.340,-24.197,1.229
4.000,1.400,-24.250,2.603,1.912,-25.791,2.142
4.000,1.400,-24.375,2.739,1.560,-24.987,1.411
4.000,1.400,-24.500,2.406,1.813,-24.926,1.701
4.000,1.400,-24.625,3.701,1.786,-24.319,0.577
4.000,1.400,-24.750,3.098,2.108,-24.190,1.277
4.000,1.400,-24.875,1.175,2.273,-24.714,2.961
4.000,1.400,-25.000,1.590,1.934,-21.803,4.039
4.000,1.400,-25.125,3.146,2.394,-24.214,1.596
4.000,1.400,-25.250,2.374,2.064,-24.437,1.936
4.000,1.400,-25.375,1.826,1.734,-22.734,3.437
4.000,1.400,-25.500,3.999,1.577,-23.931,1.579
4.000,1.400,-25.625,2.898,1.335,-24.272,1.746
4.000,1.400,-25.750,2.711,1.651,-25.121,1.456
4.000,1.400,-25.875,4.764,1.785,-24.061,2.006
4.000,1.400,-26.000,2.820,1.772,-24.189,2.194
4.000,1.400,-26.125,3.114,1.918,-22.604,3.668
4.000,1.400,-26.250,1.563,1.798,-22.638,4.376
4.000,1.400,-26.375,3.209,1.609,-23.980,2.531
4.000,1.400,-26.500,1.633,1.734,-25.585,2.559
4.000,1.400,-26.625,4.061,2.299,-23.225,3.517
4.000,1.400,-26.750,1.303,1.498,-24.687,3.397
4.000,1.400,-26.875,3.965,1.567,-23.399,3.481
4.000,1.400,-27.000,4.023,1.506,-22.925,4.076
4.000,1.400,-27.000,4.079,1.527,-22.989,4.014
4.113,1.400,-27.000,3.024,1.416,-23.202,3.951
4.225,1.400,-27.000,2.944,1.831,-22.794,4.417
4.338,1.400,-27.000,3.532,1.615,-24.492,2.643
4.450,1.400,-27.000,4.151,1.987,-25.155,1.959
4.563,1.400,-27.000,2.661,1.503,-24.912,2.826
4.675,1.400,-27.000,1.856,1.813,-23.506,4.508
4.788,1.400,-27.000,5.944,1.115,-25.333,2.049
4.900,1.400,-27.000,4.884,2.022,-23.175,3.875
5.013,1.400,-27.000,2.954,1.911,-23.289,4.274
5.125,1.400,-27.000,2.706,1.793,-22.289,5.310
5.238,1.400,-27.000,5.029,1.964,-23.762,3.293
5.350,1.400,-27.000,3.619,1.720,-25.703,2.187
5.463,1.400,-27.000,4.155,2.123,-22.900,4.364
5.575,1.400,-27.000,3.688,1.818,-25.719,2.319
5.688,1.400,-27.000,3.766,1.927,-22.865,4.590
5.800,1.400,-27.000,3.835,1.370,-22.998,4.458
5.913,1.400,-27.000,2.839,2.195,-25.401,3.555
6.025,1.400,-27.000,4.291,2.042,-21.650,5.660
6.138,1.400,-27.000,6.387,1.835,-23.754,3.285
6.250,1.400,-27.000,6.316,1.868,-23.681,3.352
6.363,1.400,-27.000,5.712,2.176,-25.275,2.001
6.475,1.400,-27.000,5.079,2.520,-24.114,3.396
6.588,1.400,-27.000,6.457,2.026,-24.592,2.491
6.700,1.400,-27.000,6.130,2.487,-24.971,2.371
6.700,1.400,-27.000,6.291,2.428,-24.371,2.853
6.700,1.400,-26.824,5.722,1.241,-21.841,5.080
6.700,1.400,-26.647,5.211,2.048,-22.138,4.792
6.700,1.400,-26.471,5.826,1.744,-20.542,6.003
6.700,1.400,-26.294,5.752,1.766,-22.501,3.927
6.700,1.400,-26.118,5.300,1.938,-21.353,4.995
6.700,1.400,-25.941,5.430,2.462,-22.670,3.666
6.700,1.400,-25.765,4.494,2.356,-20.121,6.134
6.700,1.400,-25.588,5.427,2.027,-22.013,3.846
6.700,1.400,-25.412,4.618,2.019,-20.426,5.438
6.700,1.400,-25.235,4.742,2.023,-18.323,7.212
6.700,1.400,-25.059,6.014,1.886,-21.420,3.735
6.700,1.400,-24.882,5.039,2.205,-23.012,2.627
6.700,1.400,-24.706,4.645,1.974,-22.339,3.187
6.700,1.400,-24.529,5.661,1.684,-22.205,2.562
6.700,1.400,-24.353,6.780,1.251,-22.298,2.062
6.700,1.400,-24.176,5.523,1.781,-21.123,3.295
6.700,1.400,-24.000,4.589,2.429,-22.108,3.015
6.700,1.400,-23.824,4.383,1.513,-21.016,3.642
6.700,1.400,-23.647,2.926,2.224,-23.084,3.904
6.700,1.400,-23.471,3.630,2.052,-20.879,4.070
6.700,1.400,-23.294,4.282,2.333,-21.474,3.167
6.700,1.400,-23.118,6.049,1.787,-23.020,0.764
6.700,1.400,-22.941,4.533,2.397,-21.934,2.590
6.700,1.400,-22.765,0.000,0.000,0.000,23.771
6.700,1.400,-22.588,6.292,1.620,-22.162,0.630
6.700,1.400,-22.412,5.027,2.203,-22.041,1.892
6.700,1.400,-22.235,5.521,1.807,-21.913,1.288
6.700,1.400,-22.059,3.714,1.845,-21.001,3.199
6.700,1.400,-21.882,4.357,2.317,-24.050,3.321
6.700,1.400,-21.706,6.041,1.765,-22.472,1.074
6.700,1.400,-21.529,5.058,1.601,-24.262,3.195
6.700,1.400,-21.353,4.705,2.723,-27.311,6.421
6.700,1.400,-21.176,5.625,2.148,-25.509,4.527
6.700,1.400,-21.000,4.344,2.398,-24.520,4.352
