GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.122,1.554,-24.213,0.290
4.000,1.400,-24.125,3.974,1.762,-25.038,0.983
4.000,1.400,-24.250,4.012,1.701,-23.981,0.403
4.000,1.400,-24.375,4.023,1.295,-24.432,0.122
4.000,1.400,-24.500,4.499,1.222,-24.810,0.614
4.000,1.400,-24.625,3.871,1.459,-24.615,0.142
4.000,1.400,-24.750,3.793,1.552,-25.072,0.412
4.000,1.400,-24.875,4.008,1.615,-24.898,0.216
4.000,1.400,-25.000,3.707,1.679,-25.487,0.633
4.000,1.400,-25.125,3.816,1.412,-25.293,0.250
4.000,1.400,-25.250,3.877,1.550,-25.657,0.450
4.000,1.400,-25.375,4.095,1.599,-25.388,0.220
4.000,1.400,-25.500,4.169,1.015,-25.511,0.421
4.000,1.400,-25.625,3.984,1.292,-25.085,0.551
4.000,1.400,-25.750,4.081,1.005,-25.595,0.432
4.000,1.400,-25.875,3.822,1.349,-26.419,0.575
4.000,1.400,-26.000,3.750,1.299,-26.330,0.426
4.000,1.400,-26.125,3.842,1.396,-25.634,0.516
4.000,1.400,-26.250,3.811,1.428,-26.406,0.246
4.000,1.400,-26.375,3.812,1.422,-26.318,0.197
4.000,1.400,-26.500,4.237,1.412,-26.223,0.364
4.000,1.400,-26.625,3.727,1.472,-26.874,0.376
4.000,1.400,-26.750,3.557,1.456,-26.773,0.447
4.000,1.400,-26.875,4.128,1.475,-26.932,0.159
4.000,1.400,-27.000,4.349,1.574,-26.807,0.435
4.000,1.400,-27.000,4.094,1.295,-26.934,0.155
4.113,1.400,-27.000,3.800,1.242,-26.965,0.352
4.225,1.400,-27.000,4.203,1.547,-26.980,0.150
4.338,1.400,-27.000,4.462,1.286,-26.856,0.222
4.450,1.400,-27.000,4.398,1.147,-26.724,0.378
4.563,1.400,-27.000,4.594,1.458,-26.748,0.260
4.675,1.400,-27.000,4.667,1.424,-27.038,0.045
4.788,1.400,-27.000,4.776,1.080,-26.770,0.394
4.900,1.400,-27.000,4.967,1.497,-27.053,0.129
5.013,1.400,-27.000,4.674,1.433,-27.145,0.370
5.125,1.400,-27.000,5.148,1.449,-26.857,0.153
5.238,1.400,-27.000,5.402,1.334,-27.038,0.181
5.350,1.400,-27.000,5.529,1.243,-27.226,0.328
5.463,1.400,-27.000,5.806,1.451,-27.002,0.347
5.575,1.400,-27.000,5.528,1.462,-27.437,0.444
5.688,1.400,-27.000,5.573,1.388,-26.823,0.212
5.800,1.400,-27.000,5.775,1.091,-26.949,0.314
5.913,1.400,-27.000,5.735,1.531,-27.600,0.639
6.025,1.400,-27.000,6.377,1.527,-27.124,0.394
6.138,1.400,-27.000,5.408,1.867,-26.996,0.866
6.250,1.400,-27.000,5.515,1.885,-26.763,0.912
6.363,1.400,-27.000,5.454,1.798,-27.220,1.016
6.475,1.400,-27.000,5.773,2.203,-26.870,1.074
6.588,1.400,-27.000,5.482,2.005,-27.143,1.268
6.700,1.400,-27.000,5.777,2.319,-27.638,1.450
6.700,1.400,-27.000,6.173,2.135,-27.323,0.960
6.700,1.400,-26.824,6.466,1.307,-26.491,0.417
6.700,1.400,-26.647,6.647,1.268,-26.800,0.209
6.700,1.400,-26.471,6.826,1.271,-25.598,0.890
6.700,1.400,-26.294,6.840,1.350,-27.176,0.894
6.700,1.400,-26.118,6.627,1.863,-26.639,0.701
6.700,1.400,-25.941,6.547,1.214,-26.090,0.283
6.700,1.400,-25.765,6.550,1.756,-26.145,0.542
6.700,1.400,-25.588,6.768,0.922,-25.001,0.761
6.700,1.400,-25.412,6.394,1.479,-25.408,0.316
6.700,1.400,-25.235,6.857,1.392,-25.051,0.242
6.700,1.400,-25.059,7.016,1.398,-25.091,0.318
6.700,1.400,-24.882,5.868,1.294,-23.125,1.947
6.700,1.400,-24.706,6.173,2.399,-23.586,1.590
6.700,1.400,-24.529,6.324,2.172,-22.785,1.944
6.700,1.400,-24.353,6.091,3.181,-23.836,1.952
6.700,1.400,-24.176,7.169,1.255,-22.812,1.450
6.700,1.400,-24.000,6.057,1.570,-22.069,2.042
6.700,1.400,-23.824,6.804,1.329,-22.992,0.841
6.700,1.400,-23.647,5.519,1.301,-22.094,1.954
6.700,1.400,-23.471,6.636,1.944,-19.816,3.696
6.700,1.400,-23.294,6.554,1.557,-22.509,0.814
6.700,1.400,-23.118,6.590,1.283,-23.728,0.632
6.700,1.400,-22.941,6.120,1.528,-20.884,2.141
6.700,1.400,-22.765,6.851,1.740,-20.811,1.989
6.700,1.400,-22.588,5.550,1.670,-20.919,2.045
6.700,1.400,-22.412,6.378,1.478,-21.947,0.571
6.700,1.400,-22.235,6.769,1.718,-21.665,0.657
6.700,1.400,-22.059,6.617,1.469,-22.257,0.225
6.700,1.400,-21.882,6.483,1.195,-21.777,0.317
6.700,1.400,-21.706,7.070,0.926,-22.024,0.680
6.700,1.400,-21.529,6.801,1.247,-21.719,0.264
6.700,1.400,-21.353,6.845,1.520,-21.465,0.219
6.700,1.400,-21.176,6.914,1.405,-21.322,0.259
6.700,1.400,-21.000,6.819,2.083,-20.417,0.906
