GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.588,1.918,-23.613,0.874
4.000,1.400,-24.125,4.530,1.971,-24.555,0.890
4.000,1.400,-24.250,4.661,2.161,-23.785,1.110
4.000,1.400,-24.375,4.704,1.839,-23.955,0.930
4.000,1.400,-24.500,5.064,1.845,-24.101,1.221
4.000,1.400,-24.625,4.473,1.994,-23.908,1.045
4.000,1.400,-24.750,4.486,2.086,-24.293,0.957
4.000,1.400,-24.875,4.467,2.157,-24.316,1.051
4.000,1.400,-25.000,4.668,1.952,-24.539,0.981
4.000,1.400,-25.125,4.471,2.027,-24.197,1.215
4.000,1.400,-25.250,4.898,2.002,-23.890,1.738
4.000,1.400,-25.375,4.631,1.971,-24.428,1.273
4.000,1.400,-25.500,5.050,2.142,-24.748,1.490
4.000,1.400,-25.625,4.518,1.854,-24.238,1.549
4.000,1.400,-25.750,4.493,1.996,-24.997,1.080
4.000,1.400,-25.875,4.552,1.937,-25.158,1.053
4.000,1.400,-26.000,4.513,1.946,-24.982,1.264
4.000,1.400,-26.125,4.539,1.917,-24.486,1.801
4.000,1.400,-26.250,4.532,1.930,-25.028,1.435
4.000,1.400,-26.375,4.324,2.052,-24.527,1.986
4.000,1.400,-26.500,4.923,2.061,-24.911,1.953
4.000,1.400,-26.625,4.547,1.991,-25.505,1.380
4.000,1.400,-26.750,4.527,2.031,-25.644,1.378
4.000,1.400,-26.875,5.019,2.021,-25.548,1.785
4.000,1.400,-27.000,4.970,2.035,-25.956,1.560
4.000,1.400,-27.000,4.501,2.037,-25.044,2.117
4.113,1.400,-27.000,4.487,1.870,-25.093,1.999
4.225,1.400,-27.000,4.664,2.015,-24.990,2.147
4.338,1.400,-27.000,4.923,1.860,-25.336,1.823
4.450,1.400,-27.000,4.609,1.921,-25.048,2.027
4.563,1.400,-27.000,4.945,2.048,-24.614,2.502
4.675,1.400,-27.000,4.664,2.155,-25.115,2.031
4.788,1.400,-27.000,4.910,2.059,-25.330,1.799
4.900,1.400,-27.000,4.961,1.984,-25.368,1.734
5.013,1.400,-27.000,4.940,2.051,-25.518,1.620
5.125,1.400,-27.000,4.751,1.974,-25.095,2.024
5.238,1.400,-27.000,4.979,1.934,-25.281,1.819
5.350,1.400,-27.000,5.587,2.022,-24.809,2.290
5.463,1.400,-27.000,5.318,2.045,-25.282,1.841
5.575,1.400,-27.000,4.957,2.109,-25.223,2.010
5.688,1.400,-27.000,5.129,1.978,-24.833,2.311
5.800,1.400,-27.000,5.600,1.880,-24.875,2.188
5.913,1.400,-27.000,5.206,1.905,-25.567,1.676
6.025,1.400,-27.000,5.534,1.901,-24.950,2.166
6.138,1.400,-27.000,5.008,2.077,-24.755,2.603
6.250,1.400,-27.000,5.446,1.951,-25.129,2.109
6.363,1.400,-27.000,5.087,1.923,-24.820,2.580
6.475,1.400,-27.000,5.376,1.911,-24.438,2.834
6.588,1.400,-27.000,5.570,1.876,-24.949,2.338
6.700,1.400,-27.000,5.365,1.979,-25.036,2.444
6.700,1.400,-27.000,5.672,1.913,-24.746,2.530
6.700,1.400,-26.824,5.772,1.817,-24.608,2.438
6.700,1.400,-26.647,5.825,1.834,-24.669,2.206
6.700,1.400,-26.471,6.253,1.731,-23.863,2.666
6.700,1.400,-26.294,5.794,2.008,-24.035,2.509
6.700,1.400,-26.118,6.033,1.971,-24.285,2.032
6.700,1.400,-25.941,5.975,1.899,-23.983,2.146
6.700,1.400,-25.765,6.012,1.876,-23.824,2.114
6.700,1.400,-25.588,6.218,1.990,-24.246,1.544
6.700,1.400,-25.412,5.970,2.034,-24.050,1.670
6.700,1.400,-25.235,6.204,1.941,-24.071,1.376
6.700,1.400,-25.059,6.221,1.870,-24.037,1.223
6.700,1.400,-24.882,5.562,2.060,-23.621,1.822
6.700,1.400,-24.706,6.117,1.830,-23.787,1.170
6.700,1.400,-24.529,6.102,1.790,-23.079,1.616
6.700,1.400,-24.353,5.782,1.852,-23.484,1.343
6.700,1.400,-24.176,6.134,2.087,-23.322,1.234
6.700,1.400,-24.000,5.486,1.991,-23.713,1.381
6.700,1.400,-23.824,6.464,1.934,-23.701,0.597
6.700,1.400,-23.647,5.382,2.143,-23.476,1.523
6.700,1.400,-23.471,5.158,2.105,-23.543,1.697
6.700,1.400,-23.294,6.009,1.851,-23.175,0.833
6.700,1.400,-23.118,6.239,1.978,-23.255,0.752
6.700,1.400,-22.941,5.028,1.826,-23.587,1.842
6.700,1.400,-22.765,5.650,1.919,-24.114,1.787
6.700,1.400,-22.588,5.327,1.893,-22.358,1.477
6.700,1.400,-22.412,6.077,1.840,-23.283,1.158
6.700,1.400,-22.235,6.068,2.038,-22.622,0.978
6.700,1.400,-22.059,6.085,1.927,-23.028,1.263
6.700,1.400,-21.882,5.907,1.897,-23.140,1.568
6.700,1.400,-21.706,6.212,1.917,-22.987,1.465
6.700,1.400,-21.529,6.341,1.757,-22.949,1.508
6.700,1.400,-21.353,6.088,1.886,-22.651,1.515
6.700,1.400,-21.176,6.084,1.834,-22.644,1.649
6.700,1.400,-21.000,5.768,1.886,-22.612,1.924
