GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,6.770,1.462,-21.847,3.509
4.000,1.400,-24.125,6.632,1.282,-22.093,3.327
4.000,1.400,-24.250,6.470,1.306,-22.183,3.222
4.000,1.400,-24.375,6.546,1.421,-22.186,3.357
4.000,1.400,-24.500,6.550,1.307,-22.229,3.417
4.000,1.400,-24.625,7.199,1.454,-21.570,4.424
4.000,1.400,-24.750,7.098,1.421,-22.114,4.068
4.000,1.400,-24.875,6.979,1.472,-22.816,3.621
4.000,1.400,-25.000,6.623,1.499,-22.297,3.768
4.000,1.400,-25.125,6.485,1.643,-22.891,3.350
4.000,1.400,-25.250,6.475,1.704,-23.374,3.120
4.000,1.400,-25.375,5.268,1.544,-23.572,2.209
4.000,1.400,-25.500,6.320,1.635,-23.268,3.228
4.000,1.400,-25.625,7.032,1.402,-22.569,4.305
4.000,1.400,-25.750,5.664,1.553,-22.232,3.895
4.000,1.400,-25.875,6.246,1.558,-23.076,3.592
4.000,1.400,-26.000,7.031,1.511,-22.393,4.712
4.000,1.400,-26.125,5.886,1.429,-22.968,3.677
4.000,1.400,-26.250,7.578,1.430,-22.291,5.337
4.000,1.400,-26.375,6.495,1.673,-23.851,3.559
4.000,1.400,-26.500,6.763,1.396,-22.816,4.605
4.000,1.400,-26.625,6.486,1.485,-23.376,4.092
4.000,1.400,-26.750,6.653,1.635,-23.775,3.993
4.000,1.400,-26.875,6.784,1.478,-23.658,4.255
4.000,1.400,-27.000,6.646,1.555,-23.422,4.453
4.000,1.400,-27.000,6.764,1.670,-23.998,4.089
4.113,1.400,-27.000,6.875,1.489,-24.166,3.958
4.225,1.400,-27.000,6.648,1.541,-24.662,3.371
4.338,1.400,-27.000,6.857,1.658,-24.642,3.460
4.450,1.400,-27.000,6.377,1.608,-24.275,3.344
4.563,1.400,-27.000,6.682,1.593,-24.199,3.518
4.675,1.400,-27.000,6.842,1.624,-24.443,3.359
4.788,1.400,-27.000,5.872,1.652,-24.346,2.878
4.900,1.400,-27.000,6.397,1.551,-24.527,2.895
5.013,1.400,-27.000,6.533,1.748,-24.943,2.581
5.125,1.400,-27.000,6.163,1.708,-25.845,1.583
5.238,1.400,-27.000,5.505,1.743,-26.540,0.633
5.350,1.400,-27.000,5.460,1.942,-25.781,1.338
5.463,1.400,-27.000,5.524,1.702,-25.806,1.233
5.575,1.400,-27.000,5.341,1.814,-26.150,0.974
5.688,1.400,-27.000,5.954,1.732,-25.724,1.345
5.800,1.400,-27.000,5.132,1.761,-25.008,2.132
5.913,1.400,-27.000,5.273,1.695,-25.763,1.423
6.025,1.400,-27.000,5.381,1.837,-25.923,1.329
6.138,1.400,-27.000,4.971,1.855,-26.549,1.331
6.250,1.400,-27.000,5.498,1.916,-27.132,0.922
6.363,1.400,-27.000,5.021,1.861,-26.437,1.527
6.475,1.400,-27.000,5.167,1.721,-26.509,1.433
6.588,1.400,-27.000,4.731,1.793,-26.538,1.953
6.700,1.400,-27.000,4.985,1.640,-26.216,1.901
6.700,1.400,-27.000,4.765,1.919,-26.943,2.005
6.700,1.400,-26.824,4.117,1.690,-26.729,2.601
6.700,1.400,-26.647,4.749,1.820,-26.726,1.997
6.700,1.400,-26.471,5.156,1.701,-26.764,1.600
6.700,1.400,-26.294,4.374,1.907,-26.595,2.399
6.700,1.400,-26.118,4.442,1.664,-26.479,2.302
6.700,1.400,-25.941,4.738,1.719,-26.493,2.063
6.700,1.400,-25.765,4.578,1.803,-26.597,2.315
6.700,1.400,-25.588,4.374,1.924,-26.658,2.613
6.700,1.400,-25.412,4.278,1.923,-26.871,2.875
6.700,1.400,-25.235,3.939,1.812,-26.959,3.281
6.700,1.400,-25.059,4.685,1.882,-26.994,2.835
6.700,1.400,-24.882,4.375,1.919,-25.716,2.524
6.700,1.400,-24.706,4.045,1.807,-25.522,2.807
6.700,1.400,-24.529,4.672,1.920,-26.082,2.606
6.700,1.400,-24.353,4.243,1.733,-25.307,2.657
6.700,1.400,-24.176,3.877,1.864,-25.258,3.058
6.700,1.400,-24.000,4.278,1.705,-24.976,2.629
6.700,1.400,-23.824,3.865,1.814,-24.856,3.045
6.700,1.400,-23.647,4.465,1.867,-25.369,2.860
6.700,1.400,-23.471,4.375,1.761,-25.113,2.869
6.700,1.400,-23.294,4.370,1.869,-25.030,2.943
6.700,1.400,-23.118,3.949,1.774,-24.271,3.006
6.700,1.400,-22.941,3.616,1.748,-24.392,3.426
6.700,1.400,-22.765,3.656,1.799,-24.783,3.675
6.700,1.400,-22.588,4.013,1.622,-23.961,3.026
6.700,1.400,-22.412,4.336,1.807,-24.243,3.018
6.700,1.400,-22.235,4.334,1.780,-24.113,3.045
6.700,1.400,-22.059,4.403,1.709,-23.368,2.661
6.700,1.400,-21.882,3.875,1.694,-24.008,3.548
6.700,1.400,-21.706,4.643,1.723,-23.987,3.088
6.700,1.400,-21.529,3.902,1.763,-23.969,3.730
6.700,1.400,-21.353,4.358,1.749,-24.183,3.690
6.700,1.400,-21.176,4.103,1.784,-23.699,3.641
6.700,1.400,-21.000,3.789,1.726,-24.326,4.432
