GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,3.702,1.789,-24.409,0.639
4.000,1.400,-24.125,3.877,1.894,-24.325,0.547
4.000,1.400,-24.250,3.721,1.785,-24.543,0.558
4.000,1.400,-24.375,3.926,2.017,-24.651,0.680
4.000,1.400,-24.500,3.777,2.058,-24.705,0.725
4.000,1.400,-24.625,3.860,2.014,-24.668,0.631
4.000,1.400,-24.750,3.879,2.006,-24.929,0.644
4.000,1.400,-24.875,3.759,2.100,-24.910,0.741
4.000,1.400,-25.000,3.784,1.999,-25.145,0.653
4.000,1.400,-25.125,3.846,2.134,-25.285,0.767
4.000,1.400,-25.250,3.811,2.118,-25.377,0.753
4.000,1.400,-25.375,3.733,2.104,-25.620,0.792
4.000,1.400,-25.500,3.810,2.021,-25.612,0.659
4.000,1.400,-25.625,3.818,2.031,-25.945,0.730
4.000,1.400,-25.750,3.800,2.009,-25.885,0.655
4.000,1.400,-25.875,3.688,1.734,-26.112,0.515
4.000,1.400,-26.000,3.845,1.615,-26.244,0.360
4.000,1.400,-26.125,3.785,1.461,-26.354,0.320
4.000,1.400,-26.250,3.815,1.382,-26.433,0.261
4.000,1.400,-26.375,3.812,1.467,-26.494,0.232
4.000,1.400,-26.500,3.988,1.397,-26.580,0.080
4.000,1.400,-26.625,3.908,1.575,-26.710,0.215
4.000,1.400,-26.750,4.026,1.999,-26.811,0.602
4.000,1.400,-26.875,4.144,2.318,-26.920,0.931
4.000,1.400,-27.000,4.309,2.420,-27.202,1.085
4.000,1.400,-27.000,4.286,2.168,-27.143,0.832
4.113,1.400,-27.000,4.360,2.479,-27.078,1.109
4.225,1.400,-27.000,4.542,2.021,-27.128,0.708
4.338,1.400,-27.000,4.447,1.992,-27.251,0.652
4.450,1.400,-27.000,4.604,2.502,-27.315,1.157
4.563,1.400,-27.000,4.522,2.609,-27.277,1.241
4.675,1.400,-27.000,4.583,1.837,-27.207,0.492
4.788,1.400,-27.000,4.688,2.014,-27.163,0.643
4.900,1.400,-27.000,4.596,2.152,-27.106,0.819
5.013,1.400,-27.000,4.780,2.341,-27.107,0.975
5.125,1.400,-27.000,4.842,2.089,-27.096,0.751
5.238,1.400,-27.000,4.770,1.881,-27.184,0.696
5.350,1.400,-27.000,4.881,2.282,-27.156,1.011
5.463,1.400,-27.000,4.851,2.109,-26.967,0.937
5.575,1.400,-27.000,4.923,1.973,-26.932,0.871
5.688,1.400,-27.000,5.211,1.627,-26.932,0.532
5.800,1.400,-27.000,4.953,1.737,-26.768,0.941
5.913,1.400,-27.000,5.272,1.742,-26.835,0.745
6.025,1.400,-27.000,5.568,1.734,-26.909,0.574
6.138,1.400,-27.000,5.585,2.231,-26.730,1.034
6.250,1.400,-27.000,5.675,1.829,-26.720,0.770
6.363,1.400,-27.000,5.856,2.137,-26.665,0.955
6.475,1.400,-27.000,5.999,1.842,-26.693,0.719
6.588,1.400,-27.000,5.944,1.886,-26.613,0.895
6.700,1.400,-27.000,6.387,1.614,-27.241,0.449
6.700,1.400,-27.000,6.318,1.884,-26.955,0.619
6.700,1.400,-26.824,6.245,1.854,-26.524,0.709
6.700,1.400,-26.647,6.231,1.730,-26.293,0.674
6.700,1.400,-26.471,6.331,1.485,-26.678,0.431
6.700,1.400,-26.294,6.391,1.537,-26.152,0.367
6.700,1.400,-26.118,6.461,1.877,-26.049,0.538
6.700,1.400,-25.941,6.377,1.990,-25.867,0.677
6.700,1.400,-25.765,6.335,1.698,-25.929,0.499
6.700,1.400,-25.588,6.372,2.056,-25.783,0.759
6.700,1.400,-25.412,6.318,1.591,-25.337,0.433
6.700,1.400,-25.235,6.333,2.092,-25.332,0.789
6.700,1.400,-25.059,6.316,2.018,-25.133,0.732
6.700,1.400,-24.882,6.317,1.863,-25.021,0.617
6.700,1.400,-24.706,6.234,1.825,-24.812,0.640
6.700,1.400,-24.529,6.177,2.314,-24.859,1.103
6.700,1.400,-24.353,6.079,1.772,-24.024,0.795
6.700,1.400,-24.176,6.583,1.663,-23.027,1.185
6.700,1.400,-24.000,6.348,1.589,-23.308,0.799
6.700,1.400,-23.824,6.444,1.921,-22.817,1.161
6.700,1.400,-23.647,6.274,1.948,-23.305,0.774
6.700,1.400,-23.471,6.325,2.037,-21.928,1.711
6.700,1.400,-23.294,6.482,1.866,-22.919,0.637
6.700,1.400,-23.118,6.202,1.483,-24.104,1.108
6.700,1.400,-22.941,6.105,2.255,-21.586,1.709
6.700,1.400,-22.765,6.226,1.727,-24.381,1.716
6.700,1.400,-22.588,6.396,2.229,-22.333,0.919
6.700,1.400,-22.412,6.386,2.380,-22.324,1.033
6.700,1.400,-22.235,6.419,2.326,-22.200,0.968
6.700,1.400,-22.059,6.456,2.537,-22.099,1.164
6.700,1.400,-21.882,6.537,1.939,-21.914,0.564
6.700,1.400,-21.706,6.349,2.464,-22.065,1.177
6.700,1.400,-21.529,6.501,2.222,-22.059,0.998
6.700,1.400,-21.353,6.380,2.173,-21.891,0.995
6.700,1.400,-21.176,6.407,2.467,-21.582,1.178
6.700,1.400,-21.000,6.318,2.042,-21.593,0.954
