GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.860,1.795,-23.846,0.959
4.000,1.400,-24.125,4.464,1.719,-23.684,0.715
4.000,1.400,-24.250,4.530,1.723,-23.535,0.947
4.000,1.400,-24.375,4.305,1.751,-24.195,0.498
4.000,1.400,-24.500,4.550,1.817,-24.221,0.744
4.000,1.400,-24.625,4.862,1.760,-23.802,1.244
4.000,1.400,-24.750,4.749,1.770,-23.843,1.233
4.000,1.400,-24.875,4.364,1.769,-24.442,0.675
4.000,1.400,-25.000,5.022,1.718,-24.414,1.220
4.000,1.400,-25.125,4.959,1.723,-24.207,1.366
4.000,1.400,-25.250,4.450,1.858,-24.515,0.976
4.000,1.400,-25.375,4.585,1.757,-24.749,0.929
4.000,1.400,-25.500,4.805,1.830,-25.147,0.979
4.000,1.400,-25.625,4.969,1.918,-25.363,1.130
4.000,1.400,-25.750,4.713,1.800,-24.226,1.730
4.000,1.400,-25.875,4.667,1.879,-25.357,0.971
4.000,1.400,-26.000,4.673,1.643,-24.886,1.324
4.000,1.400,-26.125,4.794,1.664,-25.528,1.028
4.000,1.400,-26.250,4.542,1.846,-24.863,1.555
4.000,1.400,-26.375,4.900,1.854,-26.272,1.013
4.000,1.400,-26.500,4.889,1.685,-25.815,1.158
4.000,1.400,-26.625,4.832,1.788,-25.646,1.342
4.000,1.400,-26.750,5.061,1.758,-25.543,1.646
4.000,1.400,-26.875,4.624,1.753,-25.873,1.232
4.000,1.400,-27.000,5.003,1.625,-25.912,1.497
4.000,1.400,-27.000,4.829,1.745,-26.087,1.280
4.113,1.400,-27.000,5.118,1.829,-26.126,1.399
4.225,1.400,-27.000,4.780,1.665,-26.185,1.021
4.338,1.400,-27.000,4.738,1.817,-26.045,1.116
4.450,1.400,-27.000,4.928,1.796,-26.425,0.846
4.563,1.400,-27.000,4.689,1.849,-26.277,0.860
4.675,1.400,-27.000,4.991,1.856,-26.533,0.726
4.788,1.400,-27.000,5.109,1.800,-25.742,1.358
4.900,1.400,-27.000,5.738,1.641,-25.533,1.707
5.013,1.400,-27.000,4.914,1.850,-26.155,0.962
5.125,1.400,-27.000,5.250,1.727,-25.922,1.134
5.238,1.400,-27.000,5.065,1.781,-26.242,0.866
5.350,1.400,-27.000,4.782,1.780,-26.359,0.937
5.463,1.400,-27.000,5.205,1.791,-25.767,1.319
5.575,1.400,-27.000,5.338,1.802,-25.955,1.145
5.688,1.400,-27.000,5.397,1.709,-25.981,1.104
5.800,1.400,-27.000,5.462,1.646,-25.278,1.772
5.913,1.400,-27.000,5.322,1.718,-25.509,1.635
6.025,1.400,-27.000,6.029,1.793,-25.724,1.335
6.138,1.400,-27.000,5.129,1.860,-25.549,1.826
6.250,1.400,-27.000,5.433,1.909,-25.153,2.083
6.363,1.400,-27.000,5.690,1.881,-25.366,1.831
6.475,1.400,-27.000,5.728,1.783,-25.464,1.751
6.588,1.400,-27.000,6.047,1.802,-25.251,1.875
6.700,1.400,-27.000,5.933,1.785,-24.653,2.499
6.700,1.400,-27.000,6.224,1.782,-24.695,2.384
6.700,1.400,-26.824,6.756,1.835,-24.576,2.290
6.700,1.400,-26.647,6.493,1.761,-24.982,1.716
6.700,1.400,-26.471,6.617,1.529,-24.497,1.980
6.700,1.400,-26.294,6.619,1.557,-24.548,1.755
6.700,1.400,-26.118,6.958,1.651,-24.116,2.034
6.700,1.400,-25.941,6.656,1.478,-24.499,1.445
6.700,1.400,-25.765,6.315,1.757,-24.529,1.343
6.700,1.400,-25.588,6.595,1.747,-24.223,1.412
6.700,1.400,-25.412,6.546,1.686,-24.679,0.802
6.700,1.400,-25.235,6.379,1.632,-23.955,1.341
6.700,1.400,-25.059,6.569,1.684,-24.397,0.732
6.700,1.400,-24.882,6.237,1.830,-23.891,1.176
6.700,1.400,-24.706,6.413,1.674,-23.966,0.840
6.700,1.400,-24.529,6.384,1.517,-23.743,0.856
6.700,1.400,-24.353,6.296,1.880,-23.836,0.813
6.700,1.400,-24.176,7.254,1.689,-23.198,1.160
6.700,1.400,-24.000,5.385,1.714,-23.393,1.482
6.700,1.400,-23.824,6.800,1.633,-22.697,1.155
6.700,1.400,-23.647,4.458,1.733,-23.456,2.274
6.700,1.400,-23.471,5.357,1.642,-23.639,1.375
6.700,1.400,-23.294,6.983,1.571,-23.276,0.331
6.700,1.400,-23.118,6.190,1.607,-23.393,0.616
6.700,1.400,-22.941,5.674,1.639,-23.524,1.204
6.700,1.400,-22.765,6.728,1.720,-23.478,0.782
6.700,1.400,-22.588,6.023,1.802,-22.501,0.792
6.700,1.400,-22.412,6.714,1.653,-22.952,0.596
6.700,1.400,-22.235,6.650,1.658,-23.086,0.891
6.700,1.400,-22.059,6.773,1.495,-22.922,0.872
6.700,1.400,-21.882,6.632,1.611,-22.986,1.126
6.700,1.400,-21.706,6.509,1.688,-22.339,0.721
6.700,1.400,-21.529,6.571,1.586,-22.839,1.329
6.700,1.400,-21.353,6.394,1.649,-23.203,1.891
6.700,1.400,-21.176,6.799,1.546,-22.427,1.263
6.700,1.400,-21.000,6.398,1.548,-22.434,1.473
