GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,3.749,1.986,-24.117,0.648
4.000,1.400,-24.125,4.491,1.614,-24.875,0.922
4.000,1.400,-24.250,3.737,2.116,-25.209,1.225
4.000,1.400,-24.375,4.322,1.949,-24.788,0.758
4.000,1.400,-24.500,4.095,1.513,-25.049,0.569
4.000,1.400,-24.625,2.259,1.815,-25.030,1.835
4.000,1.400,-24.750,3.441,1.914,-25.207,0.887
4.000,1.400,-24.875,4.014,1.936,-25.166,0.610
4.000,1.400,-25.000,4.313,1.895,-23.490,1.619
4.000,1.400,-25.125,3.912,1.653,-23.765,1.387
4.000,1.400,-25.250,4.546,1.908,-23.860,1.577
4.000,1.400,-25.375,4.704,1.398,-24.656,1.006
4.000,1.400,-25.500,4.162,1.832,-23.610,1.945
4.000,1.400,-25.625,3.289,1.547,-25.533,0.731
4.000,1.400,-25.750,4.792,1.809,-24.560,1.487
4.000,1.400,-25.875,4.887,1.557,-24.937,1.301
4.000,1.400,-26.000,4.778,1.800,-24.731,1.542
4.000,1.400,-26.125,4.091,1.718,-26.573,0.557
4.000,1.400,-26.250,3.477,1.799,-24.357,2.004
4.000,1.400,-26.375,3.726,1.660,-25.599,0.863
4.000,1.400,-26.500,4.078,1.735,-24.243,2.283
4.000,1.400,-26.625,3.612,1.840,-25.913,0.922
4.000,1.400,-26.750,3.635,1.718,-24.953,1.861
4.000,1.400,-26.875,4.664,1.868,-26.046,1.161
4.000,1.400,-27.000,4.244,1.777,-25.038,2.012
4.000,1.400,-27.000,4.046,1.715,-25.580,1.455
4.113,1.400,-27.000,4.034,2.036,-24.405,2.673
4.225,1.400,-27.000,4.168,1.797,-25.300,1.747
4.338,1.400,-27.000,3.833,2.103,-25.973,1.343
4.450,1.400,-27.000,4.866,1.850,-26.436,0.833
4.563,1.400,-27.000,4.963,2.025,-25.970,1.270
4.675,1.400,-27.000,5.443,1.554,-25.589,1.614
4.788,1.400,-27.000,5.433,1.885,-25.296,1.886
4.900,1.400,-27.000,4.680,1.567,-25.524,1.502
5.013,1.400,-27.000,5.312,1.712,-24.716,2.325
5.125,1.400,-27.000,4.681,1.484,-26.634,0.582
5.238,1.400,-27.000,5.421,1.651,-25.881,1.161
5.350,1.400,-27.000,5.129,1.612,-27.673,0.739
5.463,1.400,-27.000,5.238,1.459,-25.793,1.230
5.575,1.400,-27.000,6.108,1.910,-27.912,1.173
5.688,1.400,-27.000,4.836,1.678,-25.825,1.477
5.800,1.400,-27.000,4.431,1.480,-25.323,2.167
5.913,1.400,-27.000,3.929,2.124,-27.544,2.181
6.025,1.400,-27.000,6.056,1.825,-24.860,2.182
6.138,1.400,-27.000,5.208,2.063,-24.785,2.492
6.250,1.400,-27.000,5.403,1.702,-24.852,2.329
6.363,1.400,-27.000,6.228,1.741,-27.166,0.402
6.475,1.400,-27.000,6.206,1.785,-26.836,0.498
6.588,1.400,-27.000,6.003,1.872,-25.444,1.728
6.700,1.400,-27.000,5.665,1.905,-25.605,1.809
6.700,1.400,-27.000,5.798,2.721,-27.203,1.612
6.700,1.400,-26.824,5.150,1.540,-22.537,4.561
6.700,1.400,-26.647,5.305,1.491,-23.567,3.382
6.700,1.400,-26.471,5.310,1.151,-23.077,3.675
6.700,1.400,-26.294,6.679,1.825,-26.333,0.427
6.700,1.400,-26.118,6.211,1.671,-24.350,1.854
6.700,1.400,-25.941,6.035,1.667,-24.695,1.437
6.700,1.400,-25.765,6.026,1.710,-23.179,2.690
6.700,1.400,-25.588,6.338,1.399,-22.291,3.317
6.700,1.400,-25.412,5.552,1.310,-22.319,3.300
6.700,1.400,-25.235,6.815,1.381,-21.861,3.376
6.700,1.400,-25.059,5.758,1.227,-22.374,2.850
6.700,1.400,-24.882,5.879,1.370,-24.076,1.151
6.700,1.400,-24.706,6.986,2.119,-23.702,1.267
6.700,1.400,-24.529,5.989,1.498,-23.448,1.298
6.700,1.400,-24.353,6.719,1.327,-22.285,2.070
6.700,1.400,-24.176,7.095,1.296,-22.962,1.281
6.700,1.400,-24.000,5.809,1.500,-22.441,1.799
6.700,1.400,-23.824,6.831,1.393,-21.973,1.855
6.700,1.400,-23.647,5.138,1.878,-23.418,1.649
6.700,1.400,-23.471,5.909,1.587,-21.994,1.685
6.700,1.400,-23.294,6.371,1.474,-22.088,1.252
6.700,1.400,-23.118,7.185,1.782,-23.728,0.868
6.700,1.400,-22.941,4.982,1.549,-23.019,1.726
6.700,1.400,-22.765,6.325,1.854,-22.553,0.626
6.700,1.400,-22.588,6.131,1.487,-21.915,0.885
6.700,1.400,-22.412,5.986,1.506,-22.076,0.796
6.700,1.400,-22.235,6.371,1.742,-22.879,0.800
6.700,1.400,-22.059,5.401,1.472,-23.117,1.677
6.700,1.400,-21.882,6.361,1.410,-22.882,1.056
6.700,1.400,-21.706,6.134,1.359,-22.004,0.641
6.700,1.400,-21.529,6.519,1.420,-22.778,1.262
6.700,1.400,-21.353,5.622,1.559,-24.549,3.376
6.700,1.400,-21.176,6.308,1.505,-22.844,1.716
6.700,1.400,-21.000,6.627,1.459,-23.037,2.039
