GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.218,1.947,-23.730,0.648
4.000,1.400,-24.125,3.660,1.909,-25.480,1.487
4.000,1.400,-24.250,4.251,1.875,-24.778,0.753
4.000,1.400,-24.375,4.257,1.919,-25.795,1.534
4.000,1.400,-24.500,4.020,1.944,-24.965,0.715
4.000,1.400,-24.625,3.617,1.801,-25.044,0.695
4.000,1.400,-24.750,3.739,1.968,-25.025,0.683
4.000,1.400,-24.875,4.152,1.657,-25.087,0.366
4.000,1.400,-25.000,3.902,1.815,-25.471,0.635
4.000,1.400,-25.125,3.637,1.920,-25.475,0.724
4.000,1.400,-25.250,3.523,1.852,-25.612,0.751
4.000,1.400,-25.375,4.078,1.926,-25.422,0.534
4.000,1.400,-25.500,3.914,1.919,-24.118,1.479
4.000,1.400,-25.625,3.651,2.008,-25.125,0.861
4.000,1.400,-25.750,3.957,1.805,-26.960,1.276
4.000,1.400,-25.875,3.584,1.745,-25.697,0.569
4.000,1.400,-26.000,4.418,1.850,-26.262,0.668
4.000,1.400,-26.125,4.198,1.732,-25.195,1.007
4.000,1.400,-26.250,4.428,1.928,-26.778,0.861
4.000,1.400,-26.375,3.984,1.992,-26.319,0.595
4.000,1.400,-26.500,4.257,2.193,-26.731,0.865
4.000,1.400,-26.625,4.000,2.674,-27.294,1.439
4.000,1.400,-26.750,4.707,1.928,-25.964,1.182
4.000,1.400,-26.875,4.047,1.885,-26.169,0.857
4.000,1.400,-27.000,5.573,1.877,-27.545,1.731
4.000,1.400,-27.000,4.163,1.783,-27.727,0.837
4.113,1.400,-27.000,4.878,2.035,-26.647,1.055
4.225,1.400,-27.000,4.321,1.931,-27.323,0.629
4.338,1.400,-27.000,3.933,1.622,-26.922,0.468
4.450,1.400,-27.000,4.667,1.665,-27.677,0.759
4.563,1.400,-27.000,5.107,1.967,-27.398,0.881
4.675,1.400,-27.000,5.169,2.151,-27.075,0.902
4.788,1.400,-27.000,4.444,1.547,-25.224,1.815
4.900,1.400,-27.000,4.324,2.123,-27.881,1.277
5.013,1.400,-27.000,5.066,1.876,-27.395,0.621
5.125,1.400,-27.000,4.789,2.055,-26.653,0.814
5.238,1.400,-27.000,5.553,2.215,-27.349,0.941
5.350,1.400,-27.000,5.267,2.136,-26.331,0.998
5.463,1.400,-27.000,4.895,1.827,-26.336,0.972
5.575,1.400,-27.000,5.637,2.090,-27.231,0.731
5.688,1.400,-27.000,5.034,2.041,-27.378,0.990
5.800,1.400,-27.000,4.931,1.942,-26.654,1.081
5.913,1.400,-27.000,7.098,2.326,-29.114,2.595
6.025,1.400,-27.000,5.048,1.697,-25.925,1.483
6.138,1.400,-27.000,5.611,2.278,-26.640,1.085
6.250,1.400,-27.000,5.441,1.858,-26.166,1.250
6.363,1.400,-27.000,4.654,2.338,-27.537,2.022
6.475,1.400,-27.000,5.494,2.105,-26.450,1.327
6.588,1.400,-27.000,5.235,1.944,-26.846,1.466
6.700,1.400,-27.000,6.263,1.589,-26.148,0.976
6.700,1.400,-27.000,6.568,1.716,-27.469,0.581
6.700,1.400,-26.824,5.900,1.745,-25.761,1.374
6.700,1.400,-26.647,5.969,1.925,-26.140,1.032
6.700,1.400,-26.471,6.278,1.720,-23.855,2.668
6.700,1.400,-26.294,5.442,1.796,-27.035,1.513
6.700,1.400,-26.118,6.121,1.993,-26.383,0.870
6.700,1.400,-25.941,6.457,2.077,-26.032,0.725
6.700,1.400,-25.765,6.437,2.051,-25.025,1.020
6.700,1.400,-25.588,7.298,2.058,-22.495,3.219
6.700,1.400,-25.412,5.718,1.585,-23.881,1.828
6.700,1.400,-25.235,6.624,1.682,-23.186,2.070
6.700,1.400,-25.059,6.826,1.554,-23.509,1.562
6.700,1.400,-24.882,6.287,2.147,-25.701,1.183
6.700,1.400,-24.706,5.365,1.743,-24.960,1.402
6.700,1.400,-24.529,6.194,1.927,-24.318,0.760
6.700,1.400,-24.353,6.251,1.863,-22.427,2.031
6.700,1.400,-24.176,6.823,1.498,-23.289,0.901
6.700,1.400,-24.000,4.810,2.291,-23.939,2.091
6.700,1.400,-23.824,6.298,1.788,-22.229,1.690
6.700,1.400,-23.647,5.099,2.127,-24.520,1.963
6.700,1.400,-23.471,6.487,1.854,-20.469,3.043
6.700,1.400,-23.294,5.936,1.673,-21.757,1.738
6.700,1.400,-23.118,6.477,1.795,-22.501,0.765
6.700,1.400,-22.941,6.556,1.867,-21.744,1.293
6.700,1.400,-22.765,5.962,1.858,-21.705,1.370
6.700,1.400,-22.588,5.757,2.134,-22.103,1.290
6.700,1.400,-22.412,6.679,1.895,-22.548,0.514
6.700,1.400,-22.235,6.835,1.697,-22.248,0.327
6.700,1.400,-22.059,6.371,1.686,-23.031,1.065
6.700,1.400,-21.882,6.292,1.786,-22.392,0.758
6.700,1.400,-21.706,6.721,1.586,-22.788,1.098
6.700,1.400,-21.529,6.842,1.584,-22.397,0.898
6.700,1.400,-21.353,6.902,1.293,-22.294,0.969
6.700,1.400,-21.176,6.506,1.903,-22.970,1.873
6.700,1.400,-21.000,6.583,1.770,-21.110,0.403
