GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.417,2.070,-26.166,2.305
4.000,1.400,-24.125,3.282,1.721,-24.361,0.821
4.000,1.400,-24.250,4.619,2.208,-24.051,1.037
4.000,1.400,-24.375,3.154,1.689,-24.317,0.896
4.000,1.400,-24.500,3.639,1.996,-25.631,1.328
4.000,1.400,-24.625,5.528,1.623,-21.842,3.183
4.000,1.400,-24.750,3.497,2.173,-24.526,0.949
4.000,1.400,-24.875,2.733,1.924,-24.190,1.533
4.000,1.400,-25.000,4.269,1.914,-25.370,0.688
4.000,1.400,-25.125,4.749,1.867,-23.106,2.203
4.000,1.400,-25.250,5.577,1.677,-21.310,4.253
4.000,1.400,-25.375,5.060,1.547,-26.813,1.792
4.000,1.400,-25.500,4.941,1.932,-24.897,1.237
4.000,1.400,-25.625,4.102,1.865,-23.327,2.347
4.000,1.400,-25.750,6.691,1.908,-27.257,3.126
4.000,1.400,-25.875,2.880,2.278,-25.161,1.592
4.000,1.400,-26.000,2.447,1.811,-24.321,2.324
4.000,1.400,-26.125,4.064,2.280,-24.872,1.533
4.000,1.400,-26.250,3.566,1.924,-26.402,0.697
4.000,1.400,-26.375,3.401,2.127,-27.724,1.645
4.000,1.400,-26.500,2.870,2.094,-28.202,2.158
4.000,1.400,-26.625,5.926,1.638,-23.158,3.973
4.000,1.400,-26.750,4.866,2.280,-26.809,1.236
4.000,1.400,-26.875,5.172,1.895,-25.856,1.630
4.000,1.400,-27.000,4.181,1.900,-25.587,1.510
4.000,1.400,-27.000,2.106,2.015,-25.218,2.672
4.113,1.400,-27.000,4.371,2.230,-23.537,3.570
4.225,1.400,-27.000,6.053,1.933,-26.714,1.926
4.338,1.400,-27.000,4.662,1.796,-28.885,1.954
4.450,1.400,-27.000,5.248,2.339,-28.443,1.897
4.563,1.400,-27.000,5.057,1.947,-26.371,0.969
4.675,1.400,-27.000,4.769,2.011,-26.693,0.690
4.788,1.400,-27.000,6.214,1.896,-21.717,5.495
4.900,1.400,-27.000,6.390,2.381,-26.090,2.003
5.013,1.400,-27.000,4.482,1.976,-26.622,0.870
5.125,1.400,-27.000,4.548,2.256,-25.964,1.463
5.238,1.400,-27.000,6.581,2.033,-26.286,1.648
5.350,1.400,-27.000,6.336,2.002,-25.438,1.943
5.463,1.400,-27.000,5.302,2.112,-23.955,3.131
5.575,1.400,-27.000,4.782,1.977,-26.854,0.991
5.688,1.400,-27.000,5.535,1.975,-23.648,3.404
5.800,1.400,-27.000,4.311,1.873,-22.978,4.315
5.913,1.400,-27.000,4.661,1.848,-26.573,1.396
6.025,1.400,-27.000,5.486,2.154,-23.269,3.844
6.138,1.400,-27.000,4.690,2.199,-24.733,2.806
6.250,1.400,-27.000,5.167,2.233,-21.486,5.681
6.363,1.400,-27.000,4.332,2.031,-24.373,3.380
6.475,1.400,-27.000,4.400,2.182,-24.379,3.433
6.588,1.400,-27.000,5.344,2.241,-25.793,1.926
6.700,1.400,-27.000,7.933,2.041,-24.557,2.810
6.700,1.400,-27.000,5.196,1.912,-23.751,3.617
6.700,1.400,-26.824,6.035,1.843,-23.569,3.352
6.700,1.400,-26.647,4.082,2.090,-26.351,2.724
6.700,1.400,-26.471,7.948,1.697,-22.975,3.724
6.700,1.400,-26.294,5.444,1.864,-23.011,3.546
6.700,1.400,-26.118,4.456,1.909,-25.111,2.512
6.700,1.400,-25.941,5.029,1.926,-27.148,2.127
6.700,1.400,-25.765,6.330,1.794,-25.176,0.800
6.700,1.400,-25.588,7.921,2.010,-23.067,2.867
6.700,1.400,-25.412,5.180,1.859,-24.995,1.641
6.700,1.400,-25.235,8.296,1.579,-21.307,4.243
6.700,1.400,-25.059,5.948,2.050,-24.859,1.014
6.700,1.400,-24.882,5.359,2.006,-24.488,1.523
6.700,1.400,-24.706,4.814,1.788,-21.983,3.334
6.700,1.400,-24.529,3.861,1.610,-21.559,4.114
6.700,1.400,-24.353,3.640,1.798,-21.497,4.205
6.700,1.400,-24.176,8.014,1.509,-20.749,3.672
6.700,1.400,-24.000,4.902,2.207,-22.772,2.322
6.700,1.400,-23.824,5.575,2.300,-24.252,1.504
6.700,1.400,-23.647,4.503,1.917,-23.351,2.277
6.700,1.400,-23.471,5.607,1.943,-23.265,1.237
6.700,1.400,-23.294,5.193,1.794,-23.383,1.560
6.700,1.400,-23.118,7.219,1.680,-23.528,0.718
6.700,1.400,-22.941,4.789,1.941,-23.626,2.101
6.700,1.400,-22.765,5.928,1.565,-21.791,1.254
6.700,1.400,-22.588,5.027,2.032,-22.983,1.831
6.700,1.400,-22.412,4.457,1.793,-24.128,2.851
6.700,1.400,-22.235,7.646,1.655,-21.057,1.532
6.700,1.400,-22.059,5.929,1.860,-23.876,2.027
6.700,1.400,-21.882,5.902,1.656,-21.460,0.939
6.700,1.400,-21.706,6.452,1.952,-21.393,0.681
6.700,1.400,-21.529,6.513,1.718,-22.266,0.824
6.700,1.400,-21.353,4.515,1.654,-24.950,4.217
6.700,1.400,-21.176,3.144,2.144,-21.006,3.637
6.700,1.400,-21.000,5.581,1.707,-23.236,2.520
