GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,6.598,1.350,-21.092,3.900
4.000,1.400,-24.125,6.616,1.539,-21.121,3.986
4.000,1.400,-24.250,6.515,1.597,-20.776,4.294
4.000,1.400,-24.375,6.761,1.516,-22.091,3.585
4.000,1.400,-24.500,6.648,1.145,-21.420,4.070
4.000,1.400,-24.625,6.902,1.481,-21.279,4.430
4.000,1.400,-24.750,6.825,1.195,-21.822,4.074
4.000,1.400,-24.875,6.858,1.419,-22.680,3.604
4.000,1.400,-25.000,6.606,1.503,-22.307,3.749
4.000,1.400,-25.125,6.001,2.084,-21.485,4.210
4.000,1.400,-25.250,7.216,1.343,-20.916,5.398
4.000,1.400,-25.375,5.942,1.366,-21.804,4.066
4.000,1.400,-25.500,6.127,1.454,-24.213,2.487
4.000,1.400,-25.625,7.069,1.251,-23.071,3.996
4.000,1.400,-25.750,5.916,1.952,-21.287,4.888
4.000,1.400,-25.875,7.025,1.159,-21.936,4.973
4.000,1.400,-26.000,6.898,1.507,-22.667,4.418
4.000,1.400,-26.125,5.953,1.718,-21.638,4.904
4.000,1.400,-26.250,7.251,1.608,-23.142,4.503
4.000,1.400,-26.375,5.821,3.242,-24.401,3.257
4.000,1.400,-26.500,6.319,2.366,-22.649,4.597
4.000,1.400,-26.625,6.197,2.084,-23.065,4.239
4.000,1.400,-26.750,5.848,1.629,-23.836,3.458
4.000,1.400,-26.875,6.780,1.254,-25.086,3.309
4.000,1.400,-27.000,6.671,1.525,-24.943,3.374
4.000,1.400,-27.000,6.706,1.581,-25.121,3.299
4.113,1.400,-27.000,6.693,0.753,-24.854,3.418
4.225,1.400,-27.000,6.483,1.245,-26.057,2.452
4.338,1.400,-27.000,6.532,1.239,-25.803,2.505
4.450,1.400,-27.000,6.737,1.574,-26.369,2.379
4.563,1.400,-27.000,6.895,1.243,-25.905,2.582
4.675,1.400,-27.000,6.794,1.632,-26.318,2.238
4.788,1.400,-27.000,6.142,1.333,-26.106,1.625
4.900,1.400,-27.000,6.748,1.451,-26.469,1.924
5.013,1.400,-27.000,6.042,2.134,-26.934,1.266
5.125,1.400,-27.000,5.809,2.441,-27.267,1.274
5.238,1.400,-27.000,5.567,2.115,-27.350,0.861
5.350,1.400,-27.000,5.518,1.747,-26.827,0.423
5.463,1.400,-27.000,5.491,2.085,-27.134,0.699
5.575,1.400,-27.000,5.540,2.228,-27.041,0.830
5.688,1.400,-27.000,5.708,2.017,-27.130,0.631
5.800,1.400,-27.000,5.884,1.628,-26.703,0.384
5.913,1.400,-27.000,5.877,1.207,-26.976,0.197
6.025,1.400,-27.000,5.952,1.469,-27.070,0.122
6.138,1.400,-27.000,5.621,1.625,-27.050,0.566
6.250,1.400,-27.000,5.973,1.486,-27.430,0.518
6.363,1.400,-27.000,5.452,1.036,-26.744,1.013
6.475,1.400,-27.000,4.998,1.219,-27.034,1.489
6.588,1.400,-27.000,5.351,1.633,-27.187,1.272
6.700,1.400,-27.000,5.439,1.566,-26.905,1.275
6.700,1.400,-27.000,5.287,1.345,-26.940,1.415
6.700,1.400,-26.824,4.822,1.356,-27.030,1.890
6.700,1.400,-26.647,5.100,1.223,-27.006,1.649
6.700,1.400,-26.471,5.100,1.479,-26.961,1.676
6.700,1.400,-26.294,4.674,1.487,-27.015,2.153
6.700,1.400,-26.118,4.527,1.392,-26.684,2.246
6.700,1.400,-25.941,4.151,0.809,-26.907,2.790
6.700,1.400,-25.765,4.176,1.207,-26.987,2.811
6.700,1.400,-25.588,3.990,1.426,-26.868,2.997
6.700,1.400,-25.412,3.984,1.106,-26.893,3.107
6.700,1.400,-25.235,3.634,1.673,-27.191,3.647
6.700,1.400,-25.059,4.246,2.146,-27.121,3.291
6.700,1.400,-24.882,3.972,1.481,-26.512,3.179
6.700,1.400,-24.706,3.855,1.195,-26.426,3.331
6.700,1.400,-24.529,3.783,1.394,-26.664,3.615
6.700,1.400,-24.353,3.617,1.629,-26.416,3.717
6.700,1.400,-24.176,3.706,1.429,-26.481,3.778
6.700,1.400,-24.000,3.949,1.338,-26.220,3.535
6.700,1.400,-23.824,3.757,1.049,-25.972,3.660
6.700,1.400,-23.647,4.153,1.564,-26.133,3.563
6.700,1.400,-23.471,4.199,1.120,-25.623,3.311
6.700,1.400,-23.294,4.044,1.456,-25.310,3.335
6.700,1.400,-23.118,3.747,1.508,-25.410,3.740
6.700,1.400,-22.941,4.007,1.460,-25.301,3.581
6.700,1.400,-22.765,3.720,1.612,-25.513,4.060
6.700,1.400,-22.588,3.836,1.407,-24.858,3.654
6.700,1.400,-22.412,4.628,1.472,-25.032,3.341
6.700,1.400,-22.235,4.446,1.362,-24.831,3.438
6.700,1.400,-22.059,4.137,1.487,-24.432,3.494
6.700,1.400,-21.882,4.066,1.260,-24.797,3.931
6.700,1.400,-21.706,4.539,1.443,-24.506,3.537
6.700,1.400,-21.529,3.878,1.423,-24.485,4.087
6.700,1.400,-21.353,4.204,1.635,-24.960,4.393
6.700,1.400,-21.176,4.284,1.574,-24.491,4.106
6.700,1.400,-21.000,3.853,1.646,-23.815,4.012
