GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,5.607,1.282,-23.822,1.621
4.000,1.400,-24.125,6.956,1.904,-21.274,4.138
4.000,1.400,-24.250,6.674,2.161,-23.771,2.821
4.000,1.400,-24.375,4.418,1.805,-23.429,1.110
4.000,1.400,-24.500,6.157,2.159,-26.259,2.885
4.000,1.400,-24.625,5.882,1.624,-23.440,2.235
4.000,1.400,-24.750,6.896,1.916,-24.425,2.959
4.000,1.400,-24.875,4.430,1.670,-27.136,2.317
4.000,1.400,-25.000,5.619,1.940,-24.311,1.841
4.000,1.400,-25.125,3.978,2.481,-21.168,4.102
4.000,1.400,-25.250,4.725,1.769,-25.795,0.979
4.000,1.400,-25.375,6.469,1.999,-21.612,4.541
4.000,1.400,-25.500,3.661,1.878,-22.098,3.452
4.000,1.400,-25.625,5.155,1.510,-21.436,4.347
4.000,1.400,-25.750,3.740,2.418,-23.885,2.140
4.000,1.400,-25.875,5.412,1.786,-23.775,2.560
4.000,1.400,-26.000,4.367,2.253,-23.512,2.656
4.000,1.400,-26.125,5.372,2.181,-24.182,2.504
4.000,1.400,-26.250,5.223,1.999,-25.325,1.646
4.000,1.400,-26.375,3.360,1.716,-24.038,2.443
4.000,1.400,-26.500,4.367,1.933,-24.754,1.862
4.000,1.400,-26.625,5.017,1.899,-23.994,2.865
4.000,1.400,-26.750,4.691,1.779,-24.090,2.774
4.000,1.400,-26.875,6.530,1.563,-21.595,5.857
4.000,1.400,-27.000,5.184,1.671,-24.652,2.644
4.000,1.400,-27.000,4.497,1.650,-24.099,2.954
4.113,1.400,-27.000,3.682,1.631,-25.240,1.826
4.225,1.400,-27.000,4.946,1.688,-24.854,2.282
4.338,1.400,-27.000,6.338,1.962,-23.843,3.780
4.450,1.400,-27.000,6.126,1.523,-23.197,4.158
4.563,1.400,-27.000,2.720,1.525,-25.894,2.152
4.675,1.400,-27.000,7.466,2.161,-24.553,3.789
4.788,1.400,-27.000,5.024,1.544,-25.306,1.717
4.900,1.400,-27.000,5.727,1.991,-25.188,2.078
5.013,1.400,-27.000,4.962,2.174,-25.915,1.334
5.125,1.400,-27.000,5.009,1.797,-25.337,1.714
5.238,1.400,-27.000,5.170,1.947,-25.636,1.471
5.350,1.400,-27.000,4.721,1.559,-24.832,2.263
5.463,1.400,-27.000,4.790,1.902,-25.849,1.424
5.575,1.400,-27.000,4.723,2.170,-25.231,2.109
5.688,1.400,-27.000,3.786,1.795,-25.468,2.473
5.800,1.400,-27.000,6.000,1.678,-23.271,3.744
5.913,1.400,-27.000,6.600,1.780,-23.412,3.673
6.025,1.400,-27.000,6.923,1.633,-23.210,3.902
6.138,1.400,-27.000,5.046,1.976,-26.813,1.248
6.250,1.400,-27.000,6.707,1.782,-24.286,2.779
6.363,1.400,-27.000,6.637,2.376,-25.828,1.549
6.475,1.400,-27.000,5.818,1.903,-24.733,2.413
6.588,1.400,-27.000,6.499,1.938,-22.899,4.137
6.700,1.400,-27.000,3.750,1.540,-25.295,3.411
6.700,1.400,-27.000,5.924,1.740,-24.170,2.954
6.700,1.400,-26.824,5.315,2.038,-25.295,2.159
6.700,1.400,-26.647,5.708,2.025,-22.790,4.031
6.700,1.400,-26.471,5.735,2.087,-23.694,3.019
6.700,1.400,-26.294,5.472,1.912,-23.460,3.131
6.700,1.400,-26.118,5.122,2.194,-23.036,3.552
6.700,1.400,-25.941,2.845,1.948,-24.414,4.183
6.700,1.400,-25.765,4.358,1.648,-26.703,2.535
6.700,1.400,-25.588,5.513,1.092,-24.048,1.969
6.700,1.400,-25.412,4.881,1.956,-23.892,2.435
6.700,1.400,-25.235,6.273,1.978,-25.863,0.954
6.700,1.400,-25.059,5.424,2.079,-26.721,2.202
6.700,1.400,-24.882,1.970,1.638,-21.915,5.589
6.700,1.400,-24.706,6.676,2.007,-23.921,0.992
6.700,1.400,-24.529,4.788,1.968,-25.430,2.188
6.700,1.400,-24.353,4.728,2.122,-26.515,3.014
6.700,1.400,-24.176,5.457,1.573,-24.570,1.316
6.700,1.400,-24.000,7.601,1.747,-26.775,2.938
6.700,1.400,-23.824,4.220,2.134,-27.061,4.144
6.700,1.400,-23.647,5.303,2.055,-25.082,2.107
6.700,1.400,-23.471,4.847,1.906,-22.536,2.136
6.700,1.400,-23.294,3.790,1.465,-24.531,3.163
6.700,1.400,-23.118,5.194,1.696,-23.289,1.544
6.700,1.400,-22.941,4.978,1.648,-25.563,3.147
6.700,1.400,-22.765,1.616,1.769,-21.294,5.305
6.700,1.400,-22.588,5.159,1.811,-27.142,4.826
6.700,1.400,-22.412,5.350,1.828,-26.293,4.132
6.700,1.400,-22.235,5.373,2.170,-22.225,1.534
6.700,1.400,-22.059,6.636,1.360,-25.374,3.316
6.700,1.400,-21.882,4.978,2.039,-26.531,4.998
6.700,1.400,-21.706,5.027,2.061,-23.532,2.563
6.700,1.400,-21.529,4.311,1.756,-21.950,2.452
6.700,1.400,-21.353,6.654,1.703,-25.130,3.790
6.700,1.400,-21.176,3.489,2.414,-26.185,6.035
6.700,1.400,-21.000,5.434,1.931,-24.787,4.028
