GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.585,1.742,-25.073,1.269
4.000,1.400,-24.125,4.373,1.822,-24.481,0.666
4.000,1.400,-24.250,4.260,1.774,-25.907,1.718
4.000,1.400,-24.375,4.037,1.748,-24.649,0.444
4.000,1.400,-24.500,3.669,1.898,-25.295,0.995
4.000,1.400,-24.625,3.917,1.845,-24.759,0.472
4.000,1.400,-24.750,4.014,1.801,-24.455,0.498
4.000,1.400,-24.875,4.136,1.798,-25.221,0.545
4.000,1.400,-25.000,3.946,1.937,-24.255,0.920
4.000,1.400,-25.125,4.339,1.891,-24.872,0.648
4.000,1.400,-25.250,3.897,1.829,-25.028,0.494
4.000,1.400,-25.375,3.805,1.895,-24.398,1.112
4.000,1.400,-25.500,3.930,1.932,-24.809,0.875
4.000,1.400,-25.625,3.822,1.918,-24.089,1.631
4.000,1.400,-25.750,3.910,1.711,-24.973,0.842
4.000,1.400,-25.875,3.787,1.640,-25.121,0.819
4.000,1.400,-26.000,3.504,1.648,-24.721,1.394
4.000,1.400,-26.125,3.517,1.951,-24.881,1.443
4.000,1.400,-26.250,3.888,1.535,-24.668,1.591
4.000,1.400,-26.375,3.841,1.772,-24.313,2.102
4.000,1.400,-26.500,3.740,1.840,-24.492,2.072
4.000,1.400,-26.625,4.285,1.673,-24.892,1.777
4.000,1.400,-26.750,4.884,1.595,-24.478,2.446
4.000,1.400,-26.875,5.001,1.655,-25.040,2.106
4.000,1.400,-27.000,4.883,1.838,-24.866,2.351
4.000,1.400,-27.000,5.083,1.646,-25.123,2.181
4.113,1.400,-27.000,4.912,1.655,-24.941,2.224
4.225,1.400,-27.000,4.712,1.657,-25.639,1.469
4.338,1.400,-27.000,4.986,1.745,-25.026,2.106
4.450,1.400,-27.000,5.287,1.556,-25.508,1.718
4.563,1.400,-27.000,5.239,1.660,-25.117,2.017
4.675,1.400,-27.000,4.836,1.754,-25.263,1.780
4.788,1.400,-27.000,5.562,1.925,-24.672,2.509
4.900,1.400,-27.000,4.709,1.759,-25.285,1.762
5.013,1.400,-27.000,4.820,1.811,-24.835,2.212
5.125,1.400,-27.000,4.997,1.807,-25.230,1.821
5.238,1.400,-27.000,4.800,1.729,-25.419,1.673
5.350,1.400,-27.000,4.617,1.774,-24.920,2.237
5.463,1.400,-27.000,4.793,1.675,-25.346,1.806
5.575,1.400,-27.000,4.328,1.770,-25.200,2.221
5.688,1.400,-27.000,4.342,1.678,-25.370,2.132
5.800,1.400,-27.000,4.929,1.998,-25.835,1.573
5.913,1.400,-27.000,4.416,1.744,-24.652,2.805
6.025,1.400,-27.000,4.459,1.757,-24.725,2.784
6.138,1.400,-27.000,5.592,2.092,-26.240,1.164
6.250,1.400,-27.000,5.574,1.772,-26.281,1.055
6.363,1.400,-27.000,5.498,1.683,-26.264,1.170
6.475,1.400,-27.000,5.962,1.799,-26.163,1.060
6.588,1.400,-27.000,5.915,1.908,-25.948,1.348
6.700,1.400,-27.000,5.733,1.535,-26.149,1.295
6.700,1.400,-27.000,5.856,1.659,-26.380,1.079
6.700,1.400,-26.824,5.556,1.567,-24.520,2.577
6.700,1.400,-26.647,5.633,1.504,-24.241,2.634
6.700,1.400,-26.471,5.715,1.361,-24.142,2.528
6.700,1.400,-26.294,5.959,1.678,-23.644,2.765
6.700,1.400,-26.118,5.937,1.490,-23.275,2.945
6.700,1.400,-25.941,6.018,1.495,-23.318,2.712
6.700,1.400,-25.765,5.865,1.531,-23.121,2.776
6.700,1.400,-25.588,5.939,1.471,-23.449,2.272
6.700,1.400,-25.412,5.875,1.664,-22.880,2.676
6.700,1.400,-25.235,5.955,1.472,-22.048,3.274
6.700,1.400,-25.059,6.370,1.520,-22.423,2.659
6.700,1.400,-24.882,6.424,1.403,-23.850,1.069
6.700,1.400,-24.706,6.026,1.558,-23.157,1.696
6.700,1.400,-24.529,5.566,1.578,-22.704,2.156
6.700,1.400,-24.353,6.048,1.845,-23.400,1.237
6.700,1.400,-24.176,6.382,1.221,-22.228,1.983
6.700,1.400,-24.000,6.055,1.456,-21.840,2.255
6.700,1.400,-23.824,6.416,1.371,-22.474,1.379
6.700,1.400,-23.647,5.838,1.267,-22.662,1.315
6.700,1.400,-23.471,5.983,1.460,-21.956,1.677
6.700,1.400,-23.294,6.328,1.631,-22.116,1.257
6.700,1.400,-23.118,6.027,1.581,-22.747,0.789
6.700,1.400,-22.941,4.705,1.727,-22.307,2.119
6.700,1.400,-22.765,6.171,1.542,-23.914,1.273
6.700,1.400,-22.588,6.082,1.391,-21.738,1.051
6.700,1.400,-22.412,5.994,1.567,-22.102,0.788
6.700,1.400,-22.235,6.163,1.464,-22.326,0.548
6.700,1.400,-22.059,6.325,1.429,-22.079,0.377
6.700,1.400,-21.882,6.506,1.214,-22.971,1.121
6.700,1.400,-21.706,6.309,1.564,-22.529,0.926
6.700,1.400,-21.529,6.173,1.512,-22.774,1.356
6.700,1.400,-21.353,5.705,1.579,-23.223,2.126
6.700,1.400,-21.176,5.792,1.384,-23.347,2.353
6.700,1.400,-21.000,5.527,1.596,-23.438,2.712
