GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,3.970,1.419,-24.047,0.059
4.000,1.400,-24.125,3.986,1.397,-24.112,0.019
4.000,1.400,-24.250,3.972,1.363,-24.245,0.047
4.000,1.400,-24.375,4.035,1.376,-24.412,0.056
4.000,1.400,-24.500,3.943,1.400,-24.511,0.058
4.000,1.400,-24.625,4.004,1.385,-24.586,0.041
4.000,1.400,-24.750,4.049,1.399,-24.737,0.050
4.000,1.400,-24.875,3.977,1.411,-24.799,0.080
4.000,1.400,-25.000,4.032,1.356,-25.036,0.065
4.000,1.400,-25.125,4.030,1.379,-25.146,0.042
4.000,1.400,-25.250,4.012,1.398,-25.225,0.028
4.000,1.400,-25.375,4.005,1.428,-25.373,0.029
4.000,1.400,-25.500,4.014,1.422,-25.506,0.027
4.000,1.400,-25.625,4.043,1.406,-25.658,0.054
4.000,1.400,-25.750,4.017,1.404,-25.737,0.022
4.000,1.400,-25.875,4.008,1.404,-25.878,0.009
4.000,1.400,-26.000,4.019,1.396,-25.951,0.053
4.000,1.400,-26.125,4.000,1.422,-26.150,0.034
4.000,1.400,-26.250,3.938,1.422,-26.203,0.081
4.000,1.400,-26.375,3.985,1.369,-26.402,0.044
4.000,1.400,-26.500,3.932,1.424,-26.495,0.073
4.000,1.400,-26.625,3.994,1.348,-26.578,0.070
4.000,1.400,-26.750,3.981,1.365,-26.746,0.040
4.000,1.400,-26.875,3.984,1.411,-26.918,0.048
4.000,1.400,-27.000,3.947,1.401,-27.011,0.054
4.000,1.400,-27.000,3.987,1.398,-27.027,0.030
4.113,1.400,-27.000,4.082,1.424,-26.979,0.044
4.225,1.400,-27.000,4.195,1.421,-27.023,0.043
4.338,1.400,-27.000,4.242,1.410,-26.996,0.096
4.450,1.400,-27.000,4.453,1.447,-27.026,0.054
4.563,1.400,-27.000,4.599,1.347,-27.011,0.065
4.675,1.400,-27.000,4.670,1.375,-26.987,0.028
4.788,1.400,-27.000,4.832,1.393,-26.998,0.045
4.900,1.400,-27.000,4.916,1.439,-27.012,0.044
5.013,1.400,-27.000,4.982,1.379,-26.997,0.037
5.125,1.400,-27.000,5.109,1.388,-26.974,0.033
5.238,1.400,-27.000,5.252,1.425,-27.025,0.038
5.350,1.400,-27.000,5.320,1.451,-27.052,0.079
5.463,1.400,-27.000,5.471,1.386,-26.971,0.033
5.575,1.400,-27.000,5.594,1.376,-27.040,0.050
5.688,1.400,-27.000,5.690,1.335,-26.962,0.075
5.800,1.400,-27.000,5.814,1.442,-27.026,0.052
5.913,1.400,-27.000,5.911,1.392,-26.983,0.019
6.025,1.400,-27.000,6.010,1.378,-27.005,0.027
6.138,1.400,-27.000,5.307,1.956,-27.059,1.002
6.250,1.400,-27.000,5.372,1.942,-27.118,1.038
6.363,1.400,-27.000,5.532,2.016,-27.132,1.042
6.475,1.400,-27.000,5.652,2.018,-27.110,1.035
6.588,1.400,-27.000,5.777,2.053,-27.114,1.047
6.700,1.400,-27.000,5.776,1.975,-27.144,1.098
6.700,1.400,-27.000,5.875,2.053,-27.167,1.065
6.700,1.400,-26.824,6.711,1.397,-26.802,0.025
6.700,1.400,-26.647,6.709,1.401,-26.684,0.038
6.700,1.400,-26.471,6.670,1.382,-26.431,0.053
6.700,1.400,-26.294,6.734,1.430,-26.293,0.045
6.700,1.400,-26.118,6.708,1.392,-26.092,0.028
6.700,1.400,-25.941,6.692,1.369,-25.912,0.043
6.700,1.400,-25.765,6.683,1.376,-25.782,0.034
6.700,1.400,-25.588,6.566,0.843,-24.982,0.834
6.700,1.400,-25.412,6.666,1.430,-25.390,0.050
6.700,1.400,-25.235,6.689,1.444,-25.184,0.068
6.700,1.400,-25.059,6.676,1.430,-25.041,0.043
6.700,1.400,-24.882,5.754,1.522,-23.620,1.582
6.700,1.400,-24.706,6.152,2.073,-23.083,1.841
6.700,1.400,-24.529,6.132,2.073,-22.868,1.881
6.700,1.400,-24.353,5.619,3.342,-24.197,2.228
6.700,1.400,-24.176,7.126,1.373,-22.836,1.407
6.700,1.400,-24.000,6.219,1.664,-21.387,2.670
6.700,1.400,-23.824,7.018,1.462,-22.476,1.386
6.700,1.400,-23.647,6.296,1.769,-20.999,2.704
6.700,1.400,-23.471,6.311,1.754,-20.888,2.635
6.700,1.400,-23.294,6.904,1.490,-22.597,0.732
6.700,1.400,-23.118,6.345,1.404,-23.981,0.934
6.700,1.400,-22.941,5.829,1.519,-21.468,1.716
6.700,1.400,-22.765,7.111,1.582,-20.838,1.979
6.700,1.400,-22.588,5.963,1.788,-21.265,1.563
6.700,1.400,-22.412,6.688,1.406,-22.412,0.013
6.700,1.400,-22.235,6.670,1.371,-22.220,0.045
6.700,1.400,-22.059,6.697,1.416,-22.044,0.022
6.700,1.400,-21.882,6.825,1.480,-21.526,0.386
6.700,1.400,-21.706,6.662,1.348,-21.713,0.065
6.700,1.400,-21.529,6.703,1.369,-21.597,0.075
6.700,1.400,-21.353,6.703,1.392,-21.337,0.018
6.700,1.400,-21.176,6.740,1.433,-21.146,0.061
6.700,1.400,-21.000,6.673,1.385,-21.029,0.042
